question,category,level,requireLockIn,nonNeg,documentary,beenAsked
Do you think children need to be crocodile savvy?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,lighthearted,FALSE,FALSE,TRUE,FALSE
Do you like people ordering food for you in a restaurant?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,lighthearted,FALSE,FALSE,TRUE,FALSE
Why re ypou here today?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,TRUE,FALSE,FALSE,FALSE
Is this the hoghlight of your week?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,FALSE,TRUE,FALSE,FALSE
Have you met your hand twin?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,FALSE,TRUE,TRUE,FALSE
Have you met your doppleganger?,39a95767-630b-44f9-8d08-67ae64c6ab35,medium,TRUE,TRUE,TRUE,FALSE
Who relies on you?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,lighthearted,TRUE,FALSE,FALSE,FALSE
Have you sent a dick pick?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,lighthearted,FALSE,TRUE,FALSE,FALSE
What's the last mistake you made? / Do you think being here is a mistake?,ccdac514-519c-4c2c-b9e6-643688ac73ba,medium,FALSE,TRUE,FALSE,FALSE
Do you think you might regret being here in the future?,0144753f-3590-4091-bfeb-7433d137e5ba,lighthearted,FALSE,FALSE,TRUE,FALSE
Do you know for sure what your chromosomes are?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,TRUE,FALSE,FALSE
Do you know your hormone levels?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,TRUE,FALSE,FALSE
Do you know the minimum amount of sperm for fertility?,39a95767-630b-44f9-8d08-67ae64c6ab35,lighthearted,FALSE,FALSE,TRUE,FALSE
Do you like kids?,024a264a-fe34-469d-b60d-e74c3a519ca3,deep,TRUE,TRUE,FALSE,FALSE
"If a 6 yo asked you if Santa was real, what would you do?",3e87b2c3-3314-44ae-9126-fccd8f27b1eb,lighthearted,TRUE,TRUE,FALSE,FALSE
"If it ended up that I had quintuplets, how would you feel?",0144753f-3590-4091-bfeb-7433d137e5ba,deep,FALSE,FALSE,FALSE,FALSE
"If I had a multiple birth pregnancy, how would you feel if I aborted some?",ccdac514-519c-4c2c-b9e6-643688ac73ba,deep,TRUE,FALSE,TRUE,FALSE
What if I aborted a child made from your donation?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,FALSE,TRUE,FALSE,FALSE
"If your neighbour came and asked you for sugar, would you assume that they wanted sex or sugar?",ccdac514-519c-4c2c-b9e6-643688ac73ba,lighthearted,TRUE,FALSE,TRUE,FALSE
"If someone threw a tomato at us here on stage, what would you do?",c76b8c70-efce-4474-832a-6c3cccb6550e,lighthearted,TRUE,FALSE,FALSE,FALSE
"If you could have any fictional creature as a pet, what would it be and what adeventures would you go on together?",e4b7e410-7605-4bb8-b507-db5a3711a543,medium,TRUE,TRUE,TRUE,FALSE
"If we could instantly learn any skill, what would you choose for both or us and how would we use them to help others?",c76b8c70-efce-4474-832a-6c3cccb6550e,medium,TRUE,TRUE,FALSE,FALSE
"If you could live in any period of history, what era would you want to experience?",e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,medium,TRUE,FALSE,TRUE,FALSE
What era would you time travel?,024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,TRUE,TRUE,TRUE,FALSE
"If you could design a brand new amusement park, what theme would you choose?",e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,FALSE,TRUE,FALSE,FALSE
"If you could have any superpower for the day, what would it be and how would you use it to make a positive impact on the world?",36f6dee9-9426-42fb-a922-792c87db2e1e,lighthearted,TRUE,FALSE,FALSE,FALSE
Who would play you in the movie of your life?,50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,TRUE,FALSE,FALSE,FALSE
"If you're a character in a classic fairy tale, what story would ypou be in? Would you change the narrative?",024a264a-fe34-469d-b60d-e74c3a519ca3,deep,FALSE,FALSE,FALSE,FALSE
How did you get here today?,e4b7e410-7605-4bb8-b507-db5a3711a543,medium,FALSE,TRUE,FALSE,FALSE
"Long live the king, question mark?",3e87b2c3-3314-44ae-9126-fccd8f27b1eb,medium,TRUE,FALSE,TRUE,FALSE
Favourite lyric or song?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,deep,FALSE,TRUE,FALSE,FALSE
How do you feel about forest schools/boarding school/montessori/steiner etc,e4b7e410-7605-4bb8-b507-db5a3711a543,deep,TRUE,FALSE,TRUE,FALSE
Do you believe in innate or genetic intelligence?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,deep,TRUE,FALSE,FALSE,FALSE
Nature or nurture?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,FALSE,TRUE,FALSE,FALSE
"If you were given the power to solve one major world problem but to do so would result in major personal sacrifice or risk, would you still do it?",c76b8c70-efce-4474-832a-6c3cccb6550e,medium,TRUE,FALSE,FALSE,FALSE
Can you juggle/rubiks cube (hand over toys),09704acd-f205-4afd-807d-692f8e513840,medium,FALSE,TRUE,FALSE,FALSE
What do you see? (rorschach test),024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,TRUE,FALSE,TRUE,FALSE
"If you could choose between pursuing your passion or guaranteeing financial security for the rest of your life, what would you choose?",d5b5c96b-91ea-403e-bc52-a8fcf141fa03,lighthearted,TRUE,TRUE,FALSE,FALSE
Do you have any painful memories that you would like to erase from your mind?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,medium,TRUE,FALSE,TRUE,FALSE
"If you dsicover that someone close to you was involved in illegal activites, would you report them?",e4b7e410-7605-4bb8-b507-db5a3711a543,medium,FALSE,TRUE,FALSE,FALSE
Is there anything that you think merits calling the police?,024a264a-fe34-469d-b60d-e74c3a519ca3,medium,TRUE,TRUE,TRUE,FALSE
You see someone shoplifting what would you do?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,TRUE,FALSE,FALSE,FALSE
How do you feel about polyamourous people having children?,39a95767-630b-44f9-8d08-67ae64c6ab35,medium,TRUE,FALSE,TRUE,FALSE
How do you feel about open relationships?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,TRUE,TRUE,TRUE,FALSE
What do you think makes a good parent?,024a264a-fe34-469d-b60d-e74c3a519ca3,medium,TRUE,FALSE,TRUE,FALSE
What motivated you to be here?,c76b8c70-efce-4474-832a-6c3cccb6550e,lighthearted,FALSE,TRUE,TRUE,FALSE
"Say we did this and had a baby, would you want to be involved in the child's life and to what extent?",2521097c-128f-4720-8b0e-ca2d946d96c0,medium,TRUE,FALSE,FALSE,FALSE
How tall are you?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,TRUE,TRUE,FALSE,FALSE
What's the last book you read?,9c219554-49de-4a99-8c14-86ea62a84c41,medium,TRUE,FALSE,TRUE,FALSE
Do you own a gun?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,lighthearted,TRUE,FALSE,FALSE,FALSE
Do you carry a weapon? What? Why?,ccdac514-519c-4c2c-b9e6-643688ac73ba,deep,TRUE,FALSE,TRUE,FALSE
Do you trust doctors?,39a95767-630b-44f9-8d08-67ae64c6ab35,lighthearted,FALSE,TRUE,TRUE,FALSE
On a typical Friday/Sunday night what do you do?,9c219554-49de-4a99-8c14-86ea62a84c41,deep,TRUE,TRUE,TRUE,FALSE
"What's your favourite flower, tree, park?",39a95767-630b-44f9-8d08-67ae64c6ab35,medium,TRUE,FALSE,FALSE,FALSE
Is there anything else you think I should know?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,TRUE,TRUE,TRUE,FALSE
Would you be happy to undergo fertility testing?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,lighthearted,TRUE,TRUE,TRUE,FALSE
Sweet or salt?,09704acd-f205-4afd-807d-692f8e513840,lighthearted,TRUE,FALSE,FALSE,FALSE
Comedy or drama?,024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,FALSE,TRUE,TRUE,FALSE
What's the first book you read that really stuck with you?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,FALSE,FALSE,FALSE,FALSE
What's your relationship to your parents? What would they think of this?,024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,FALSE,TRUE,FALSE,FALSE
What is something you've always wanted to do but were afraid to?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,lighthearted,TRUE,TRUE,FALSE,FALSE
What's something you'd like to learn or be better at?,c76b8c70-efce-4474-832a-6c3cccb6550e,medium,FALSE,TRUE,FALSE,FALSE
Introvert or extrovert?,024a264a-fe34-469d-b60d-e74c3a519ca3,deep,TRUE,TRUE,FALSE,FALSE
What were you like as a kid?,0144753f-3590-4091-bfeb-7433d137e5ba,deep,FALSE,FALSE,FALSE,FALSE
What do you like to do in your free time?,50647b88-b49d-48c2-899f-01ec6f1ad77e,lighthearted,FALSE,TRUE,FALSE,FALSE
What's your family unit?,024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,TRUE,FALSE,TRUE,FALSE
What's your relationship to your family?,50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,FALSE,FALSE,TRUE,FALSE
How would you feel in five years time if I.... ?,9c219554-49de-4a99-8c14-86ea62a84c41,medium,FALSE,FALSE,FALSE,FALSE
Do you have a five year plan?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,FALSE,FALSE,TRUE,FALSE
Do you have a vision board for your life?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,deep,FALSE,TRUE,FALSE,FALSE
"Are you in any relationships? How would this impact your partners' five year plan? How would they feel about this? How would they feel about you abstaining for 4-5 days, every month for x amount of time?",d5b5c96b-91ea-403e-bc52-a8fcf141fa03,medium,FALSE,FALSE,TRUE,FALSE
What do you think about the concept of billionaires?,09704acd-f205-4afd-807d-692f8e513840,medium,FALSE,FALSE,FALSE,FALSE
What do you think about Jeff Bezos?,2521097c-128f-4720-8b0e-ca2d946d96c0,medium,FALSE,FALSE,TRUE,FALSE
What do you think about Elon Musk?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,TRUE,TRUE,TRUE,FALSE
What do you think about big Pharma?,e4b7e410-7605-4bb8-b507-db5a3711a543,medium,TRUE,FALSE,FALSE,FALSE
What do you think about universal healthcare?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,lighthearted,TRUE,FALSE,TRUE,FALSE
What do you think is more important: individual choice or collective wellbeing?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,lighthearted,FALSE,FALSE,FALSE,FALSE
How much do you tip your uber/rideshare/taxi driver?,09704acd-f205-4afd-807d-692f8e513840,deep,FALSE,FALSE,TRUE,FALSE
How often do you thank the bus driver?,36f6dee9-9426-42fb-a922-792c87db2e1e,medium,TRUE,FALSE,FALSE,FALSE
How often do you give money to people on the street?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,deep,TRUE,TRUE,TRUE,FALSE
Are you friends with anyone who works in law enforcement?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,medium,FALSE,TRUE,TRUE,FALSE
Are you friends with anyone who works in child protection?,c76b8c70-efce-4474-832a-6c3cccb6550e,deep,FALSE,TRUE,TRUE,FALSE
What do you think about marriage?,0144753f-3590-4091-bfeb-7433d137e5ba,lighthearted,FALSE,TRUE,FALSE,FALSE
What do you think about AI?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,deep,FALSE,TRUE,TRUE,FALSE
What do you think about humans colonising other planets?,024a264a-fe34-469d-b60d-e74c3a519ca3,medium,FALSE,FALSE,FALSE,FALSE
What are you afraid of?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,medium,FALSE,TRUE,TRUE,FALSE
How often do you talk to your best friend?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,TRUE,FALSE,FALSE,FALSE
How quickly do you expect people to reply to a text message?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,TRUE,FALSE,FALSE
How quickly do you expect people to reply to an email?,39a95767-630b-44f9-8d08-67ae64c6ab35,medium,FALSE,TRUE,FALSE,FALSE
How quickly do you usually reply to a text message?,9c219554-49de-4a99-8c14-86ea62a84c41,deep,TRUE,TRUE,TRUE,FALSE
How quickly do you usually respond to an email?,c76b8c70-efce-4474-832a-6c3cccb6550e,lighthearted,FALSE,FALSE,TRUE,FALSE
"When your guard is down, how do you express joy?",39a95767-630b-44f9-8d08-67ae64c6ab35,medium,FALSE,FALSE,FALSE,FALSE
"When your guard is down, how do you express anger?",024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,FALSE,TRUE,FALSE,FALSE
What’s the last show you binged?,ccdac514-519c-4c2c-b9e6-643688ac73ba,lighthearted,FALSE,FALSE,TRUE,FALSE
What song is your happy place?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,TRUE,FALSE,FALSE,FALSE
What movie have you watched the most amount of times?,9c219554-49de-4a99-8c14-86ea62a84c41,deep,FALSE,TRUE,TRUE,FALSE
Do you prefer spending time in big groups or just with one or two other people?,024a264a-fe34-469d-b60d-e74c3a519ca3,deep,TRUE,FALSE,TRUE,FALSE
Do you like to be the centre of attention?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,FALSE,FALSE,FALSE,FALSE
Do you think how much someone earns is an accurate measure of how good they are at their job?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,TRUE,FALSE,FALSE,FALSE
What do you think of gender reveal parties?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,deep,FALSE,TRUE,TRUE,FALSE
Have you ever ghosted someone you’ve slept with?,50647b88-b49d-48c2-899f-01ec6f1ad77e,deep,TRUE,FALSE,FALSE,FALSE
Have you ever ghosted a workplace?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,FALSE,TRUE,FALSE,FALSE
Have you ever ghosted a friend?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,FALSE,FALSE,TRUE,FALSE
How much importance do you put on social etiquette?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,deep,TRUE,TRUE,TRUE,FALSE
What’s your relationship to social media?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,TRUE,TRUE,TRUE,FALSE
What do you think about the criminal justice system?,09704acd-f205-4afd-807d-692f8e513840,medium,TRUE,TRUE,FALSE,FALSE
Do you think some people are inherently “bad”?,2521097c-128f-4720-8b0e-ca2d946d96c0,deep,FALSE,TRUE,TRUE,FALSE
How do you deal with rupture in your close relationships?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,TRUE,TRUE,FALSE,FALSE
How do you approach repair after a rupture in your close relationships?,e4b7e410-7605-4bb8-b507-db5a3711a543,lighthearted,FALSE,TRUE,TRUE,FALSE
How good are you at remembering your friends’ birthdays?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,medium,FALSE,TRUE,FALSE,FALSE
Do you think Sin cos and tan are essential parts of high school education?,ccdac514-519c-4c2c-b9e6-643688ac73ba,deep,TRUE,FALSE,FALSE,FALSE
UFO or UAP?,024a264a-fe34-469d-b60d-e74c3a519ca3,medium,TRUE,FALSE,FALSE,FALSE
Are you a fast runner?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,FALSE,FALSE,TRUE,FALSE
Did you enjoy sports day as a kid?,024a264a-fe34-469d-b60d-e74c3a519ca3,deep,FALSE,TRUE,FALSE,FALSE
Have you ever been a bully?,0144753f-3590-4091-bfeb-7433d137e5ba,medium,TRUE,FALSE,FALSE,FALSE
Can you stroke your tummy and pat your head at the same time?,ccdac514-519c-4c2c-b9e6-643688ac73ba,lighthearted,FALSE,TRUE,FALSE,FALSE
Were you good at designing houses on sims?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,FALSE,TRUE,TRUE,FALSE
What harry potter house would you say you are in?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,deep,FALSE,FALSE,TRUE,FALSE
Does anybody have a vendetta against you?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,FALSE,FALSE,FALSE,FALSE
Are you a good dancer?,ccdac514-519c-4c2c-b9e6-643688ac73ba,deep,FALSE,TRUE,TRUE,FALSE
What’s your opinion on performance art?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,FALSE,FALSE,TRUE,FALSE
Have you volunteered for performance art stuff before?,2521097c-128f-4720-8b0e-ca2d946d96c0,deep,TRUE,FALSE,FALSE,FALSE
Do you wish you made performance art?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,medium,TRUE,TRUE,FALSE,FALSE
"Oh shit, are you a pertformanc artist?",2521097c-128f-4720-8b0e-ca2d946d96c0,lighthearted,TRUE,TRUE,TRUE,FALSE
What’s a cult classic that you hate?,c76b8c70-efce-4474-832a-6c3cccb6550e,lighthearted,TRUE,TRUE,TRUE,FALSE
Your favourite movie quotes?,e4b7e410-7605-4bb8-b507-db5a3711a543,lighthearted,TRUE,FALSE,TRUE,FALSE
What is the most common recurring feedback you get about yourself in your life?,ccdac514-519c-4c2c-b9e6-643688ac73ba,medium,TRUE,FALSE,TRUE,FALSE
Describe your ideal gender reveal party?,09704acd-f205-4afd-807d-692f8e513840,deep,FALSE,TRUE,FALSE,FALSE
Who’s your favourite Kardashian and why?,36f6dee9-9426-42fb-a922-792c87db2e1e,deep,FALSE,FALSE,TRUE,FALSE
Do you want kids in the future?,0144753f-3590-4091-bfeb-7433d137e5ba,medium,FALSE,FALSE,FALSE,FALSE
What is the most common personality quirk you think you and your family share?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,TRUE,FALSE,TRUE,FALSE
Do you expect to financially be involved with this kid? Do you have a family trust fund?,50647b88-b49d-48c2-899f-01ec6f1ad77e,lighthearted,FALSE,TRUE,TRUE,FALSE
Who’s your least favourite family member and why?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,FALSE,FALSE,TRUE,FALSE
"In a burning building, there’s your most prize possession or 6 other strangers prize",50647b88-b49d-48c2-899f-01ec6f1ad77e,lighthearted,FALSE,FALSE,TRUE,FALSE
possessions – which do you grab?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,deep,TRUE,FALSE,FALSE,FALSE
Are you a door slammer?,50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,TRUE,TRUE,FALSE,FALSE
Your favourite swear word?,2521097c-128f-4720-8b0e-ca2d946d96c0,medium,FALSE,TRUE,TRUE,FALSE
The swear word you use the most?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,FALSE,FALSE,TRUE,FALSE
When do you think life begins?,39a95767-630b-44f9-8d08-67ae64c6ab35,medium,TRUE,TRUE,FALSE,FALSE
"What is your relationship to whiteness? – WITH A FOLLOW UP (if they hate whiteness, then",7de96aae-e318-4718-bfa1-c7ecfeaa47f0,medium,TRUE,TRUE,FALSE,FALSE
how do you feel about white people?),3e87b2c3-3314-44ae-9126-fccd8f27b1eb,deep,FALSE,FALSE,TRUE,FALSE
"When someone comes to you with a problem, what is your response?",024a264a-fe34-469d-b60d-e74c3a519ca3,medium,TRUE,TRUE,FALSE,FALSE
Is there a fetish you used to be ashamed of but now 4you aren’t?,c76b8c70-efce-4474-832a-6c3cccb6550e,medium,FALSE,TRUE,FALSE,FALSE
"At nandos, which spice level do you choose?",e4b7e410-7605-4bb8-b507-db5a3711a543,lighthearted,TRUE,TRUE,FALSE,FALSE
What associations do you have to the word lineage?,9c219554-49de-4a99-8c14-86ea62a84c41,medium,TRUE,TRUE,TRUE,FALSE
Would you want to keep this a secret?,024a264a-fe34-469d-b60d-e74c3a519ca3,medium,FALSE,TRUE,TRUE,FALSE
What made you sign up for this?,ccdac514-519c-4c2c-b9e6-643688ac73ba,deep,FALSE,FALSE,TRUE,FALSE
What do you think about vaccinations?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,lighthearted,FALSE,TRUE,TRUE,FALSE
How do you sleep?,36f6dee9-9426-42fb-a922-792c87db2e1e,lighthearted,FALSE,FALSE,FALSE,FALSE
What is your best physical feature?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,lighthearted,FALSE,FALSE,FALSE,FALSE
Have you donated sperm before?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,FALSE,FALSE,FALSE
When's the last time you had a sexual health test?,39a95767-630b-44f9-8d08-67ae64c6ab35,lighthearted,FALSE,FALSE,FALSE,FALSE
Do you have any allergies?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,lighthearted,FALSE,FALSE,FALSE,FALSE
Can you describe what your parents/guardians looked like? Are they hot?,7de96aae-e318-4718-bfa1-c7ecfeaa47f0,deep,TRUE,TRUE,TRUE,FALSE
Are you more of a listener or a talker?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,medium,TRUE,FALSE,TRUE,FALSE
"If you had enough money to never work again, how would you spend your time?",50647b88-b49d-48c2-899f-01ec6f1ad77e,medium,FALSE,FALSE,TRUE,FALSE
Would you rather sew your own clothes or build your own home?,d5b5c96b-91ea-403e-bc52-a8fcf141fa03,lighthearted,TRUE,FALSE,TRUE,FALSE
What are you optimistic about?,024a264a-fe34-469d-b60d-e74c3a519ca3,lighthearted,FALSE,FALSE,TRUE,FALSE
What relationship in your life are you most proud of?,36f6dee9-9426-42fb-a922-792c87db2e1e,medium,TRUE,TRUE,FALSE,FALSE
How do you look after yourself?/What does it mean to you to look after ytourself?,09704acd-f205-4afd-807d-692f8e513840,medium,TRUE,TRUE,FALSE,FALSE
Are you someone who enjoys playing with children? What games?,0144753f-3590-4091-bfeb-7433d137e5ba,deep,TRUE,TRUE,TRUE,FALSE
What makes you jealous?,024a264a-fe34-469d-b60d-e74c3a519ca3,medium,FALSE,TRUE,TRUE,FALSE
"Do you hold grudges? If so, who is on top of your list?",2521097c-128f-4720-8b0e-ca2d946d96c0,deep,FALSE,FALSE,TRUE,FALSE
What are your three best qualities?,09704acd-f205-4afd-807d-692f8e513840,lighthearted,FALSE,FALSE,TRUE,FALSE
How do you react to losing a game?,39a95767-630b-44f9-8d08-67ae64c6ab35,lighthearted,TRUE,FALSE,FALSE,FALSE
How do you define success?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,TRUE,FALSE,FALSE,FALSE
What is your greatest achievement?,2521097c-128f-4720-8b0e-ca2d946d96c0,medium,TRUE,FALSE,FALSE,FALSE
What is your longest relationship or friendship?,9c219554-49de-4a99-8c14-86ea62a84c41,lighthearted,FALSE,FALSE,TRUE,FALSE
What is your confrontation style?,2521097c-128f-4720-8b0e-ca2d946d96c0,lighthearted,TRUE,TRUE,TRUE,FALSE
How concerned are you by the climate crisis?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,medium,TRUE,TRUE,TRUE,FALSE
When was the last time you lied?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,lighthearted,FALSE,FALSE,FALSE,FALSE
Are you honest?,d7afa659-277e-47f5-8d8a-3e12a53ca5d7,medium,TRUE,FALSE,TRUE,FALSE
How informed would you say you are aboit the ethics of the brands you regularly support?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,lighthearted,TRUE,TRUE,FALSE,FALSE
What is your relationship to authority or authority figures?,c76b8c70-efce-4474-832a-6c3cccb6550e,medium,FALSE,TRUE,TRUE,FALSE
Have you ever broken boundaries in a romantic relationship?,39a95767-630b-44f9-8d08-67ae64c6ab35,deep,FALSE,FALSE,FALSE,FALSE
Do you like rules?,09704acd-f205-4afd-807d-692f8e513840,lighthearted,FALSE,TRUE,TRUE,FALSE
Do you find it easy to make decisions? Do you tend to stick to your decisions?,3e87b2c3-3314-44ae-9126-fccd8f27b1eb,deep,TRUE,FALSE,TRUE,FALSE
When making choices are you lead by thought or feeling?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,FALSE,TRUE,TRUE,FALSE
What do you think are the qualities of a life fully lived?,39a95767-630b-44f9-8d08-67ae64c6ab35,medium,TRUE,TRUE,TRUE,FALSE
Would you like a tail?,c76b8c70-efce-4474-832a-6c3cccb6550e,lighthearted,FALSE,TRUE,TRUE,FALSE
What animal do you think you could beat in a fight?,e0a0a70c-aaba-4a57-a0dc-dcc0bf98dfbb,deep,TRUE,TRUE,TRUE,FALSE
How high can you jump? (Not very accessible Q),3e87b2c3-3314-44ae-9126-fccd8f27b1eb,deep,TRUE,TRUE,FALSE,FALSE
Are you in the zone?,39a95767-630b-44f9-8d08-67ae64c6ab35,medium,FALSE,FALSE,FALSE,FALSE
Are you a bad boi?,024a264a-fe34-469d-b60d-e74c3a519ca3,deep,TRUE,FALSE,TRUE,FALSE
